company_id,group_id,relationship_type,weight,direction,source_file
COMP_0001,GROUP_0147,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0002,GROUP_0125,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0003,GROUP_0044,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0004,GROUP_0058,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0005,GROUP_0092,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0006,GROUP_0195,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0007,GROUP_0064,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0008,GROUP_0195,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0009,GROUP_0225,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0010,GROUP_0013,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0011,GROUP_0234,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0012,GROUP_0087,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0013,GROUP_0203,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0014,GROUP_0173,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0015,GROUP_0068,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0016,GROUP_0070,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0017,GROUP_0073,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0018,GROUP_0250,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0019,GROUP_0212,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0020,GROUP_0007,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0021,GROUP_0023,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0022,GROUP_0065,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0023,GROUP_0237,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0024,GROUP_0222,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0025,GROUP_0211,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0026,GROUP_0236,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0027,GROUP_0241,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0028,GROUP_0218,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0029,GROUP_0013,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0030,GROUP_0126,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0031,GROUP_0035,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0032,GROUP_0094,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0033,GROUP_0130,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0034,GROUP_0172,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0035,GROUP_0115,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0036,GROUP_0103,member_of_group,1,company_to_group,companies.csv;groups.csv
COMP_0037,GROUP_0222,member_of_group,1,company_to_group,companies.csv;groups.csv
